id,c1_high,c2_high,c3_high,c4_high,water_diff
140,99.9,99.9,5.9,10.4,7.1022
141,99.9,99.9,5.9,10.4,7.1022
142,99.9,99.9,5.9,10.4,7.1022
143,99.9,99.9,5.9,10.4,7.1022
144,99.9,99.9,5.9,10.4,6.65993
145,99.9,99.9,5.9,10.4,6.65993
146,99.9,99.9,5.9,10.4,6.65993
147,1.4,3.7,13.8,18,-7.49006
148,1.4,3.7,13.8,18,-7.49006
149,6.4,9.7,13.4,17.9,-18.18722
150,99.9,1.9,5.8,10.5,6.14163
151,99.9,1.9,5.8,10.5,6.14163
152,99.9,99.9,1,5.3,36.86948
153,99.9,99.9,1,5.3,36.86948
154,3.3,5.5,15,19.6,-13.51714
155,3.3,5.5,15,19.6,-13.51714
156,3.3,5.5,15,19.6,-13.51714
157,99.9,99.9,99.9,99.9,72.33935
158,99.9,99.9,99.9,99.9,72.33935
159,99.9,0.9,10.7,15.4,-14.14234
160,99.9,0.9,10.7,15.4,-14.14234
161,99.9,0.9,10.7,15.4,-14.14234
162,99.9,99.9,99.9,99.9,78.43324
163,99.9,3.9,8.9,13.4,7.56882
164,99.9,3.9,8.9,13.4,7.56882
165,99.9,99.9,4.5,9.2,71.41029
166,99.9,1.5,8.3,13.1,3.01367
167,99.9,1.5,8.3,13.1,3.01367
168,99.9,99.9,4.3,9.1,42.87033
169,99.9,99.9,4.3,9.1,42.87033
170,1.4,3.7,13.8,18,-14.1385
171,1.4,3.7,13.8,18,-14.1385
172,1.4,3.7,13.8,18,-14.1385
173,99.9,99.9,5.9,10.4,13.84888
174,2.3,4.1,13.7,18.2,-0.56443
175,2.3,4.1,13.7,18.2,-0.56443
176,2.3,4.1,13.7,18.2,-0.56443
177,99.9,99.9,99.9,99.9,52.4665
178,99.9,99.9,99.9,99.9,52.4665
179,99.9,99.9,99.9,99.9,52.4665
180,99.9,2.1,10.4,14.7,-9.97217
181,99.9,2.1,10.4,14.7,-9.97217
182,99.9,2.1,10.4,14.7,-9.97217
183,99.9,1.9,5.8,10.5,14.9519
184,99.9,1.9,5.8,10.5,14.9519
185,99.9,99.9,9.9,14.9,15.58496
186,99.9,99.9,9.9,14.9,15.58496
187,99.9,1.9,5.8,10.5,3.38875
188,3.9,6.5,16.7,21.6,-6.81029
189,3.9,6.5,16.7,21.6,-6.81029
190,3.9,6.5,16.7,21.6,-6.81029
191,99.9,1.9,5.8,10.5,-5.2255
192,99.9,1.9,5.8,10.5,-5.2255
193,99.9,1.9,5.8,10.5,-5.2255
194,6.4,9.7,13.4,17.9,4.29806
195,6.4,9.7,13.4,17.9,4.29806
196,6.4,9.7,13.4,17.9,4.29806
197,6.4,9.7,13.4,17.9,4.29806
198,99.9,99.9,4.3,9.1,2.79327
199,5.9,9.4,13.1,17.6,-3.69811
200,5.9,9.4,13.1,17.6,-3.69811
201,1.6,4.1,13.2,17.6,6.32009
202,1.6,4.1,13.2,17.6,6.32009
203,3,6.6,10.2,14.8,0.97699
204,3,6.6,10.2,14.8,0.97699
205,99.9,1.9,5.8,10.5,2.97853
206,99.9,1.9,5.8,10.5,2.97853
207,2.6,5,14.3,18.8,-11.30526
208,5.9,9.4,13.1,17.6,-9.21711
209,99.9,99.9,99.9,0.5,75.11973
210,99.9,99.9,99.9,0.5,75.11973
211,99.9,99.9,99.9,0.5,75.11973
212,99.9,99.9,99.9,0.5,75.11973
213,6.8,10.4,13.6,18.3,-13.78484
214,6.8,10.4,13.6,18.3,-13.78484
215,3.9,6.5,16.7,21.6,-14.29585
216,3.9,6.5,16.7,21.6,-14.29585
217,3.9,6.5,16.7,21.6,-14.29585
218,99.9,99.9,99.9,99.9,73.58414
219,99.9,99.9,99.9,99.9,73.58414
220,3.3,5.5,15.4,19.7,-7.01085
221,99.9,99.9,99.9,99.9,94.71598
222,99.9,99.9,7.9,12.6,9.99354
223,1.6,4.1,13.2,17.6,-23.45737
224,1.6,4.1,13.2,17.6,-23.45737
225,1.6,4.1,13.2,17.6,-23.45737
226,99.9,0.9,10.7,15.4,-4.17453
227,99.9,0.9,10.7,15.4,-4.17453
228,99.9,0.8,10.4,14.9,-3.45106
229,99.9,99.9,4.3,9.1,14.05425
230,99.9,99.9,4.3,9.1,14.05425
231,99.9,0,10,14.6,-3.57805
232,99.9,0,10,14.6,-3.57805
233,99.9,0,10,14.6,-3.57805
234,99.9,99.9,99.9,99.9,116.04134
235,3,6.6,10.2,14.8,-6.46429
236,3,6.6,10.2,14.8,-6.46429
237,99.9,99.9,0.6,5.5,28.99391
238,99.9,0.6,7,11.4,8.25181
239,99.9,0.6,7,11.4,8.25181
240,99.9,99.9,9.7,14.7,-11.93052
241,99.9,99.9,9.7,14.7,-11.93052
242,1.5,4,14.3,18.6,-9.15143
243,1.5,4,14.3,18.6,-9.15143
244,1.5,4,14.3,18.6,-9.15143
245,99.9,99.9,99.9,99.9,105.57378
246,99.9,99.9,99.9,99.9,105.57378
247,2,4.7,15.4,20.2,-12.52639
248,2,4.7,15.4,20.2,-12.52639
249,2,4.7,15.4,20.2,-12.52639
250,99.9,99.9,5.9,10.4,8.99376
251,99.9,99.9,5.9,10.4,8.99376
252,0.5,2.5,11.1,15.3,5.4865
253,0.5,2.5,11.1,15.3,5.4865
254,99.9,99.9,0.6,5.5,37.9416
255,99.9,99.9,0.6,5.5,37.9416
256,99.9,99.9,0.6,5.5,34.57587
257,99.9,1.9,5.8,10.5,-6.43774
258,99.9,1.9,5.8,10.5,-6.43774
259,99.9,0.5,9.6,13.9,-8.68396
260,99.9,0.5,9.6,13.9,-8.68396
261,99.9,99.9,99.9,3.1,36.07441
262,99.9,99.9,99.9,3.1,36.07441
263,4.9,7.2,13.4,17.7,-5.1291
264,4.9,7.2,13.4,17.7,-5.1291
265,4.9,7.2,13.4,17.7,-5.1291
266,99.9,99.9,99.9,99.9,112.19628
267,99.9,0.5,6.9,11.7,6.2362
268,6.9,10.2,13.4,18.2,10.70312
269,6.9,10.2,13.4,18.2,10.70312
270,99.9,99.9,99.9,99.9,76.57867
271,99.9,99.9,99.9,99.9,76.57867
272,99.9,99.9,99.9,99.9,76.57867
273,99.9,0.9,10.7,15.4,-7.51148
274,99.9,0.9,10.7,15.4,-7.51148
275,99.9,99.9,99.9,99.9,66.04932
276,5.9,9.4,13.1,17.6,-10.74284
277,5.9,9.4,13.1,17.6,-10.74284
278,99.9,1.9,5.8,10.5,-5.12936
279,99.9,1.9,5.8,10.5,-5.12936
280,99.9,1.9,5.8,10.5,-5.12936
281,0.5,2.5,11.1,15.3,7.79234
282,0.5,2.5,11.1,15.3,7.79234
283,99.9,99.9,4.3,9.1,-7.84667
284,99.9,99.9,7.9,12.6,7.56141
285,99.9,99.9,7.9,12.6,7.56141
286,99.9,99.9,7.9,12.6,7.56141
287,2.3,4.1,13.7,18.2,-9.65896
288,2.3,4.1,13.7,18.2,-9.65896
289,2.3,4.1,13.7,18.2,-9.65896
290,99.9,99.9,7.9,12.6,13.64163
291,99.9,99.9,7.9,12.6,13.64163
292,99.9,0.8,10.4,14.9,-6.66759
293,99.9,0.8,10.4,14.9,-6.66759
294,99.9,0,10,14.6,-21.36625
295,5.9,9.4,13.1,17.6,-17.10187
296,5.9,9.4,13.1,17.6,-17.10187
297,99.9,99.9,4.5,9.2,62.68647
