id,prsqft,fsid,year,long,lat
2932,77.38095238,2.40472E+11,2007,-75.22854999,38.36999432
2933,77.38095238,2.40472E+11,2007,-75.22854999,38.36999432
2934,223.5906863,2.40472E+11,2017,-75.13640151,38.41967036
2935,56.32582322,2.40472E+11,2005,-75.28033135,38.26626197
2936,56.32582322,2.40472E+11,2005,-75.28033135,38.26626197
2937,95.703125,2.40472E+11,2015,-75.17339866,38.39305345
2938,156.1631944,2.40472E+11,2009,-75.17339866,38.39305345
2939,95.703125,2.40472E+11,2015,-75.17339866,38.39305345
2940,160.5902778,2.40472E+11,2015,-75.17339866,38.39305345
2941,37.63866878,2.40472E+11,2008,-75.56783326,38.07106296
2942,38.01584786,2.40472E+11,2009,-75.56783326,38.07106296
2943,38.01584786,2.40472E+11,2009,-75.56783326,38.07106296
2944,80.64516129,2.40472E+11,2013,-75.16018836,38.38665744
2945,80.64516129,2.40472E+11,2013,-75.16018836,38.38665744
2946,82.23684211,2.40472E+11,2012,-75.134598,38.29447008
2947,82.23684211,2.40472E+11,2012,-75.134598,38.29447008
2948,336.6247756,2.40472E+11,2006,-75.13209859,38.38068875
2949,336.6247756,2.40472E+11,2006,-75.13209859,38.38068875
2950,164.7895673,2.40472E+11,2018,-75.1138036,38.32444513
2951,149.6559633,2.40472E+11,2012,-75.1549554,38.36845988
2952,149.6559633,2.40472E+11,2012,-75.1549554,38.36845988
2953,128.8681948,2.40472E+11,2014,-75.14227469,38.37668624
2954,128.8681948,2.40472E+11,2014,-75.14227469,38.37668624
2955,100.4421984,2.40472E+11,2016,-75.54943891,38.07615472
2956,102.3373342,2.40472E+11,2007,-75.54943891,38.07615472
2957,128.3151326,2.40472E+11,2015,-75.17780941,38.39429872
2958,30.72196621,2.40472E+11,2012,-75.22497376,38.32806741
2959,148.4383001,2.40472E+11,2013,-75.22497376,38.32806741
2960,148.4383001,2.40472E+11,2013,-75.22497376,38.32806741
2961,135.1351351,2.40472E+11,2017,-75.22080134,38.32634333
2962,82.10208193,2.40472E+11,2010,-75.51293939,38.02491877
2963,193.0826058,2.40472E+11,2012,-75.51293939,38.02491877
2964,193.0826058,2.40472E+11,2012,-75.51293939,38.02491877
2965,107.8869048,2.40472E+11,2007,-75.19999025,38.30860717
2966,107.8869048,2.40472E+11,2007,-75.19999025,38.30860717
2967,107.8869048,2.40472E+11,2015,-75.19999025,38.30860717
2968,149.7326203,2.40472E+11,2016,-75.13925908,38.39574313
2969,193.5828877,2.40472E+11,2005,-75.13925908,38.39574313
2970,176.9456681,2.40472E+11,2006,-75.14333625,38.33913229
2971,176.9456681,2.40472E+11,2006,-75.14333625,38.33913229
2972,36.71071953,2.40472E+11,2014,-75.14333625,38.33913229
2973,36.71071953,2.40472E+11,2014,-75.14333625,38.33913229
2974,90.66666667,2.40472E+11,2011,-75.46184213,38.22829999
2975,102.4,2.40472E+11,2008,-75.46184213,38.22829999
2976,118.6666667,2.40472E+11,2005,-75.46184213,38.22829999
2977,90.66666667,2.40472E+11,2011,-75.46184213,38.22829999
2978,349.702381,2.40472E+11,2005,-75.10145654,38.34425635
2979,159.2786885,2.40472E+11,2017,-75.15250602,38.39382652
2980,92.71978022,2.40472E+11,2010,-75.46457918,38.22731308
2981,92.71978022,2.40472E+11,2010,-75.46457918,38.22731308
2982,88.5989011,2.40472E+11,2010,-75.46457918,38.22731308
2983,120.1236264,2.40472E+11,2005,-75.46457918,38.22731308
2984,115.8730159,2.40472E+11,2010,-75.15034283,38.36772752
2985,101.521164,2.40472E+11,2006,-75.15034283,38.36772752
2986,191.7328042,2.40472E+11,2006,-75.15034283,38.36772752
2987,125.6613757,2.40472E+11,2010,-75.15034283,38.36772752
2988,25.65198803,2.40472E+11,2005,-75.56997201,38.07165983
2989,137.8579003,2.40472E+11,2014,-75.14221829,38.42824876
2990,137.8579003,2.40472E+11,2014,-75.14221829,38.42824876
2991,248.6282579,2.40472E+11,2016,-75.15480436,38.40327645
2992,144.0329218,2.40472E+11,2005,-75.15480436,38.40327645
2993,243.4944238,2.40472E+11,2007,-75.16407365,38.38478886
2994,243.4944238,2.40472E+11,2007,-75.16407365,38.38478886
2995,145.1086957,2.40472E+11,2010,-75.16433458,38.38765574
2996,145.1086957,2.40472E+11,2010,-75.16433458,38.38765574
2997,212.0848708,2.40472E+11,2005,-75.16705711,38.39256653
2998,212.0848708,2.40472E+11,2005,-75.16705711,38.39256653
2999,100.9174312,2.40472E+11,2015,-75.11309594,38.34796031
3000,132.9691211,2.40472E+11,2005,-75.20867975,38.32125246
3001,277.1753504,2.40472E+11,2009,-75.13731123,38.39421444
3002,277.1753504,2.40472E+11,2009,-75.13731123,38.39421444
3003,323.5294118,2.40472E+11,2008,-75.13815366,38.29334769
3004,323.5294118,2.40472E+11,2008,-75.13815366,38.29334769
3005,165.2710445,2.40472E+11,2012,-75.13076073,38.36646688
3006,165.2710445,2.40472E+11,2012,-75.13076073,38.36646688
3007,262.2300573,2.40472E+11,2007,-75.13076073,38.36646688
3008,150.2504174,2.40472E+11,2017,-75.16778317,38.39142184
3009,77.80247698,2.40472E+11,2008,-75.39466898,38.17726402
3010,272.5437416,2.40472E+11,2006,-75.17462853,38.24118611
3011,272.5437416,2.40472E+11,2006,-75.17462853,38.24118611
3012,142.6630435,2.40472E+11,2011,-75.14360397,38.3878814
3013,142.6630435,2.40472E+11,2011,-75.14360397,38.3878814
3014,112.0917917,2.40472E+11,2008,-75.16247289,38.39724283
3015,97.14285714,2.40472E+11,2013,-75.16074007,38.40375043
3016,97.14285714,2.40472E+11,2013,-75.16074007,38.40375043
3017,137.0967742,2.40472E+11,2006,-75.39084181,38.17226294
3018,137.0967742,2.40472E+11,2006,-75.39084181,38.17226294
3019,62.37006237,2.40472E+11,2012,-75.28930077,38.14183759
3020,62.37006237,2.40472E+11,2012,-75.28930077,38.14183759
3021,150.5235602,2.40472E+11,2017,-75.15054395,38.37735506
3022,140.7068063,2.40472E+11,2014,-75.15054395,38.37735506
3023,140.7068063,2.40472E+11,2014,-75.15054395,38.37735506
3024,112.1138211,2.40472E+11,2015,-75.15554764,38.37505705
3025,197.9674797,2.40472E+11,2005,-75.15554764,38.37505705
3026,112.1138211,2.40472E+11,2015,-75.15554764,38.37505705
3027,177.5021386,2.40472E+11,2014,-75.11767276,38.31568538
3028,153.0612245,2.40472E+11,2008,-75.21734645,38.32500307
3029,105.5312955,2.40472E+11,2017,-75.15121361,38.38071318
3030,165.4929577,2.40472E+11,2016,-75.15651208,38.38589687
3031,95.97971749,2.40472E+11,2009,-75.5314181,38.06891613
3032,95.97971749,2.40472E+11,2010,-75.5314181,38.06891613
3033,75.27733756,2.40472E+11,2005,-75.57962896,38.26557303
3034,75.27733756,2.40472E+11,2005,-75.57962896,38.26557303
3035,170.0680272,2.40472E+11,2017,-75.10834512,38.33593881
3036,61.28404669,2.40472E+11,2008,-75.56601913,38.07134463
3037,35.66796368,2.40472E+11,2007,-75.56601913,38.07134463
3038,61.28404669,2.40472E+11,2008,-75.56601913,38.07134463
3039,217.1052632,2.40472E+11,2005,-75.14710083,38.38409164
3040,217.1052632,2.40472E+11,2005,-75.14710083,38.38409164
3041,164.4736842,2.40472E+11,2017,-75.14710083,38.38409164
3042,197.6224105,2.40472E+11,2010,-75.16123552,38.36518043
3043,197.6224105,2.40472E+11,2010,-75.16123552,38.36518043
3044,85.28428094,2.40472E+11,2013,-75.22621019,38.32413398
3045,85.28428094,2.40472E+11,2013,-75.22621019,38.32413398
3046,238.3268482,2.40472E+11,2006,-75.13584181,38.36541103
3047,238.3268482,2.40472E+11,2006,-75.13584181,38.36541103
3048,183.4975369,2.40472E+11,2006,-75.50075086,38.0883204
3049,183.4975369,2.40472E+11,2006,-75.50075086,38.0883204
3050,174.1996234,2.40472E+11,2015,-75.12409451,38.44876973
3051,142.3116973,2.40472E+11,2007,-75.53742374,38.06859211
3052,142.3116973,2.40472E+11,2007,-75.53742374,38.06859211
3053,141.1902213,2.40472E+11,2005,-75.23083947,38.32234007
3054,86.79642294,2.40472E+11,2012,-75.12006346,38.32419955
3055,86.79642294,2.40472E+11,2012,-75.12006346,38.32419955
3056,94.6969697,2.40472E+11,2010,-75.16202775,38.38680614
3057,159.0909091,2.40472E+11,2005,-75.16202775,38.38680614
3058,94.6969697,2.40472E+11,2010,-75.16202775,38.38680614
3059,125,2.40472E+11,2005,-75.21333874,38.31548049
3060,181.9407008,2.40472E+11,2009,-75.14322221,38.39458174
3061,235.8490566,2.40472E+11,2017,-75.14322221,38.39458174
3062,181.9407008,2.40472E+11,2009,-75.14322221,38.39458174
3063,230.7880269,2.40472E+11,2006,-75.12795974,38.37950048
3064,230.7880269,2.40472E+11,2006,-75.12795974,38.37950048
3065,208.596713,2.40472E+11,2005,-75.14634018,38.38737672
3066,203.5984848,2.40472E+11,2017,-75.16491516,38.38720486
3067,63.15789474,2.40472E+11,2011,-75.21055233,38.31770162
3068,63.15789474,2.40472E+11,2011,-75.21055233,38.31770162
3069,76.83578947,2.40472E+11,2011,-75.21055233,38.31770162
3070,155.0976139,2.40472E+11,2007,-75.15771023,38.38772054
3071,106.5618221,2.40472E+11,2014,-75.15771023,38.38772054
3072,155.0976139,2.40472E+11,2007,-75.15771023,38.38772054
3073,199.7245179,2.40472E+11,2005,-75.16449675,38.40140106
3074,199.7245179,2.40472E+11,2005,-75.16449675,38.40140106
3075,174.7524752,2.40472E+11,2005,-75.17297728,38.39155187
3076,174.7524752,2.40472E+11,2005,-75.17297728,38.39155187
3077,116.1375661,2.40472E+11,2017,-75.1462961,38.37873239
3078,107.7169312,2.40472E+11,2017,-75.1462961,38.37873239
3079,186.1772487,2.40472E+11,2006,-75.1462961,38.37873239
3080,142.1957672,2.40472E+11,2011,-75.1462961,38.37873239
3081,285.2941176,2.40472E+11,2017,-75.12863335,38.38113913
3082,338.2352941,2.40472E+11,2006,-75.12863335,38.38113913
3083,338.2352941,2.40472E+11,2006,-75.12863335,38.38113913
3084,153.2033426,2.40472E+11,2009,-75.09701454,38.35112822
3085,153.2033426,2.40472E+11,2009,-75.09701454,38.35112822
3086,222.1296296,2.40472E+11,2005,-75.17208766,38.39403057
3087,194.4812362,2.40472E+11,2015,-75.129914,38.37801517
3088,249.3606138,2.40472E+11,2007,-75.13768156,38.2910778
3089,249.3606138,2.40472E+11,2007,-75.13768156,38.2910778
3090,254.3639922,2.40472E+11,2008,-75.13089532,38.38160532
3091,254.3639922,2.40472E+11,2008,-75.13089532,38.38160532
3092,116.7127072,2.40472E+11,2009,-75.14704585,38.38685672
3093,150.1947514,2.40472E+11,2008,-75.14704585,38.38685672
3094,116.7127072,2.40472E+11,2009,-75.14704585,38.38685672
